
ARPANET	ˈɑɹ.pəˌnɛt
astronomical	ˌæs.tɹəˈnɒm.ɪ.kəl
asweve	əˈswiːv
asymptotic	ˌæsəm(p)ˈtɒtɪk
at one&#039;s own risk	ət wʌnz ˈəʊn ɹɪsk
ataxia	eɪˈtæksɪə
athematic	ˌæθiːˈmætɪk
atherosclerosis	ˌæθɚoʊskləˈɹoʊsəs
athwart	əˈθwɔː(ɹ)t
atmosphere	ˈæt.məsˌfɪə(ɹ)
atomy	ˈætəmi
atrabilious	ˌæ.tɹəˈbɪ.li.əs
atrip	əˈtɹɪp
attache	əˈtæʃ.eɪ
attained	əˈteɪnd
attempted	əˈtɛmptɪd
attention whore	əˈtɛn.ʃən ho(ː)ɹ
attractant	əˈtɹæktənt
attributor	əˈtɹɪbjuːtə
atwist	əˈtwɪst
au revoir	ɔʁ.ˈvwaʁ
auction	ˈɔːkʃən
audile	ˈɔːdaɪl
auditory	ˈɔː.dɪ.tɹi
aula	ˈɔːla
aur-	ɔːɹ
auricle	ˈɔː.ɹɪk.əl
auroral	ɔːˈɹɔːɹəl
auspice	ˈɔːspɪs
auster	ˈɒstə(ɹ)
author	ˈɔː.θə
autism	ˈɔːtɪzm
autocratically	ˈɔːt.əˌkɹæt.ɪk(.ə)liː
autognosis	ˌɔːtəɡˈnəʊsɪs
automated teller machine	ˈɔːtəmeɪtɪd ˈtɛlə(ɹ) məˈʃiːn
autonomic	ˌɔː.təˈnɒm.ɪk
autoselect	ˈɔːtəʊˌsɪˈlɛkt
auxometer	ɔːkˈsɒmɪtə
avant-garde	ˈæ.vn̩t.ɡɑːd
avocado	ævəˈkɑːdəʊ
avolition	ˌeɪvəˈlɪʃən
avuncular	əˈvʌŋkjʊlə
awardee	əwɔɹˈdi
awaze	ɑˈwɑ.zi
awesomenessness	ˈɔːsəmnəsnəs
awrack	əˈɹæk
axed	ækst
axiom	ˈak.sɪ.əm
axunge	ˈaksənd͡ʒ
ayu	ɑːjuː
azo-	eɪ.zə(ʊ)
azoxystrobin	əˌzɒksiˈstɹəʊbɪn
babiche	bæˈbiːʃ
babushka	bəˈbuːʃ.kə
babylon	ˈbæbɪ.lɒn
baccarat	bɑːkəˈrɑː
bachelor	ˈbæt͡ʃ.ə.lə(ɹ)
back-to-back	ˌbæk.təˈbæk
backed	bækt
backhanded	ˈbækˌhændəd
backpedal	ˈbækˌpɛdəɫ
backspin	ˈbæk.ˌspɪn
backup	ˈbækˌʌp
baclofen	bæˈkloʊ.fɪn
bacteria	bækˈtɪɹ.i.ə
bacteriotherapy	bækˈtɪəɹ.ɪəʊˌθeɹ.əpi
bad	bæd
badmash	bʌdˈmɑːʃ
baetyl	ˈbiː.taɪɫ
bag	ˈbæɡ
bagging	ˈbæɡɪŋ
baignoire	bɛnˈwɑː(ɹ)
bailiwick	ˈbeɪ.lɪ.wɪk
balancer	ˈbæ.lən.səɹ
bald	bɔːld
ballast	ˈbæl.əst
ballow	ˈbæ.ləʊ
balm	bɑːm
balsamous	ˈbɔːlsəməs
banality	bəˈnælɨti
banc	bæŋk
banderilla	ˌbæn.də.ˈɹiː.jə
bandolier	ˌbændəˈlɪə(ɹ)
banishment	ˈbænɪʃmənt
bankrupt	ˈbæŋ.kɹʌpt
banteng	ˈbɑn.tɛŋ
bao toh	pɑʊtəʊ
baptized	ˈbæptaɪzd
barathrum	ˈbaɹəθɹəm
barbarious	bɑː(ɹ)ˈbeəɹɪəs
barber	ˈbɑː.bə
barbiturate	ˌbɑɹbɪˈt(j)ʊəɹeɪt
barchan	bɑː(ɹ)ˈxɑːn
bardo	ˈbɑːdəʊ
barefooted	ˈbɛːfʊtɪd
bargain	-ɡɪn
barista	baˈɾista
barking	ˈbɑɹkɪŋ
barman	ˈbɑːmən
barnight	ˈbɑː(ɹ)naɪt
barometz	ˈbæɹəmɛts
barouche	bæˈɹuːʃ
barrister	ˈbæɹ.ɪst.ə(ɹ)
barter	ˈbɑː(ɹ)tə(ɹ)
bartonite	ˈbɑː(ɹ)tənaɪt
basal	ˈbeɪsəɫ
basic	ˈbeɪsɪk
basileiolatry	basɪleɪˈɒlətɹi
basis	ˈbeɪsɪs
bast	bɑːst
bat fly	ˈbæt flaɪ
bateau	bæˈtoʊ
bather	ˈbeɪðə(ɹ)
bathyscaphe	ˈbæθɪˌskæf
battalion	bəˈtælɪən
battle royal	ˌbætl̩ ɹɔɪˈæl
bawbee	bɔːˈbiː
bawty	ˈbɔːti
baylisascariasis	ˌbeɪ.lɪsˌæ.skəˈɹaɪ.əs.ɪs
bc	biːˈsiː
be supposed to	səˈpoʊs ˌtu
beaconing	ˈbiːkənɪŋ
beaked	biːkt
bean bag	ˈbiːn.ˌbæɡ
beat it	ˈbiˌdɪt
beautician	bjuːˈtɪʃən
beaverboard	-ˌboɹd
because	bɪˈkɒz
become	bəˈkʌm
bedash	bɪˈdæʃ
bedsheet	ˈbɛdʃiːt
bee-hive	ˈbiːhaɪv
beef	bif
beep	biːp
beeswax	ˈbizwæks
befall	bɪˈfɔːl
before	bɪˈfɔː
begena	ˈbɜː-
behead	bɪˈhɛd
beholden	bɪˈhəʊldən
beignet	ˈbɛn.jeɪ
bejuggle	bɪˈdʒʌɡəl
belchy	ˈbɛlt͡ʃi
belfry	ˈbɛlfɹi
believe you me	bɪˈliːv juː ˈmiː
belles-lettres	ˌbɛlˈlɛtɹ
belvedere	ˈbɛl.vɪ.dɪə
beneath	bɪˈniːθ
beneficiary	ˌbɛn.əˈfɪʃ.əɹ.i
bengaline	ˈbɛŋɡəliːn
benjamin	ˈbɛnd͡ʒəmɪn
benzo-	bɛn.zə(ʊ)
berate	bɪˈɹeɪt
beret	ˈbɛɹ.eɪ
besaiel	bɪˈseɪl
beshow	bɪˈʃəʊ
besotted	bɪˈsɒtɪd
best boy	ˈbɛstˌbɔɪ
besweeten	bɪˈswiːtn̩
betides	bɪˈtaɪdz
betrimmed	bɪˈtɹɪmd
betty	bɛti
beverage	ˈbevɹɪdʒ
bewhore	bɪˈhɔː(ɹ)
bewreck	bɪˈɹɛk
bi	baɪ
biased	ˈbaɪəst
bibliography	bɪbliɒɡɹəfi
bicameral	bʌɪˈkaməɹəl
bichon	biʃɔn
bicycle	ˈbaɪsɪkl̩
biennial	baɪˈɛniəl
bifurcate	ˈbʌɪ.fək.eɪt
big picture	bɪɡ ˈpɪk(t)ʃɚ
biggin	ˈbɪɡɪn
bigot	ˈbɪɡət
bikie	ˈbɑɪ.kiː
bilby	ˈbɪlbiː
bilirubin	bɪlɪˈɹuːbɪn
billiard	ˈbɪl.i.ə(ɹ)d
bilocation	baɪləʊˈkeɪʃən
binarseniate	ˌbaɪnɑː(ɹ)ˈsiːnieɪt
bing	bɪŋ
biniou	ˈbɪnjuː
binoculars	ˈbənˌɒk.jə.lə(ɹ)z
biodiversity	ˌbaɪoʊdɑɪˈvɚsəti
biologic	bʌɪəˈlɒdʒɪk
bionic	ˈbɪˌɒn.ɪk
biosafety	baɪ.ɑˈseɪf.tiː
bioturbated	ˌbaɪəʊtɜː(ɹ)ˈbeɪtɪd
biphobic	baɪˈfoʊbɪk
birdlore	ˈbɜːd.lɔː
birtherism	ˈbɝθɚˌɪz(ə)m
bisection	baɪˈsɛkʃən
bishopric	ˈbɪʃəpɹɪk
bispecificity	ˌbaɪspɛsɪˈfɪsɪti
bisulcous	baɪˈsʌl.kəs
bitchlet	ˈbɪt͡ʃ.lət
bitplane	ˈbɪtpleɪn
bitty	bɪti
biz	bɪz
blabby	ˈblæbi
blacker	ˈblækɚ
blackjack	ˈblækdʒæk
blam	ˈblam
blandishment	ˈblændɪʃm(ə)nt
blastoderm	ˈblæstəˌdɚm
blazar	ˈbleɪz.ɑɹ
bleach	bliːt͡ʃ
bleary	ˈblɪɹi
bleeding	ˈbliːdɪŋ
blende	blɛnd
blessed	ˈblɛsɪd
bliaut	ˈbliːˌoʊ
blimp	blɪmp
blindside	ˈblaɪndˌsaɪd
bliss	blɪs
bloc	blɑk
blogish	ˈblɒɡ.ɪʃ
blood relationship	ˈblʌd ɹɪˈleɪʃənʃɪp
bloodwood	ˈblʌdwʊd
blooper	ˈbluːpə
blotched	blɒtʃt
blowhole	ˈbləʊhəʊl
blubber	ˈblʌbɚ
blue John	ˈbluː dʒɒn
blunder	ˈblʌn.də(ɹ)
bluntly	ˈblʌntli
blushful	ˈblʌʃfəl
boar	bɔɹ
boast	bəʊst
boating	ˈbəʊtɪŋ
bodily	ˈbɑdɪli
bodyjack	ˈbɒ.di.dʒæk
bog	bɔɡ
boho	ˈbəʊhəʊ
boiling point	ˈbɔɪlɪŋ ˌpɔɪnt
bokken	ˈbɒk.ən
boln	boʊln
bolshie	ˈbɒl.ʃi
bombard	ˌbɒmˈbɑːd
bombilla	boʊmˈbiʃə
bona nochy	ˈbəʊnə ˈnɒtʃiː
bondslave	ˈbɒndsleɪv
boneseeker	ˈbəʊnsiːkə
boning	ˈbəʊnɪŋ
bonus	ˈbəʊ.nəs
boofhead	ˈbʊfhɛd
bookcraft	ˈbʊk.ˌkɹæft
bookmark	ˈbʊkmɑɹk
boomslang	ˈbuːmˌslæŋ
boose	buːs
bootikin	ˈbuːtɪkɪn
bop	bɒp
boreen	bɔːˈɹiːn
borough	ˈbʌɹə
bosky	ˈbɒski
botanist	ˈbɒt.ən.ɪst
bothy	ˈbʌhi
bottle	ˈbɒ.təl
boucle	bukl
bough	baʊ
boulder	ˈbəʊl.də(ɹ)
bouncer	ˈbaʊnsə
bourgeoisify	bʊə(ɹ)ʒˈwɑːzifaɪ
boutique	buːˈtiːk
bow and scrape	ˌbaʊ ən ˈskɹeɪp
bowels	baʊ.əlz
bowler	ˈbəʊ.lə
bowyang	ˈbəʊjaŋ
boxty	bɑksti
boyish	ˈbɔɪ.ɪʃ
brabble	ˈbɹæbəl
brachial	ˈbrækɪəl
brae	bɹiː
bragging	ˈbɹaɡɪŋ
braille	bɹeɪl
brainy	ˈbɹeɪni
brami	ˈbɹɑːmi
branks	bɹæŋks
brassard	bɹəˈsɑːd
brattice	ˈbɹæt.ɪs
bravery	ˈbɹeɪv.ɹi
braxy	ˈbɹaksi
brazil	bɹə.ˈzɪl
breadfruit	ˈbɹedfɹuːt
breakable	ˈbɹeɪkəbl
breakthru	ˈbɹeɪkθɹuː
breath	bɹɛθ
breathy	ˈbɹɛθi
breeched	bɹiːt͡ʃt
breezily	ˈbɹɪizɪli
bremelanotide	ˌbrɛm.əˈlæn.əˌtaɪd
breviary	ˈbɹiː.vɪ.əɹ.i
bribe	bɹaɪb
brickie	ˈbɹɪki
bridezilla	ˌbɹaɪdˈzɪlə
bridleway	ˈbɹaɪdəlˌweɪ
briery	ˈbɹaɪəɹi
brightly	ˈbɹaɪtli
brilliance	ˈbɹɪljən(t)s
brinded	ˈbɹɪndɪd
brinkmanship	ˈbɹɪŋkmənʃɪp
brochette	bɹəʊˈʃɛt
brog	bɹɒɡ
brolly	ˈbɹɒli
bromidic	bɹoʊˈmɪdɪk
bronco	ˈbɹɑŋkoʊ
brooder	ˈbɹuːdə
broon	bɹuːn
brotherly	ˈbɹʌð.ə.li
brown	bɹaʊn
browsing	ˈbɹaʊzɪŋ
brunoise	bɹuːˈnwɑːz
brustle	ˈbɹʌsəl
bruvver	ˈbɹʌ.və(ɹ)
bryozoon	ˌbɹɑɪ.əˈzəʊˌɒn
bubbe	ˈbʌbi
bucca	ˈbʌk.ə
buccolingual	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/%C9%AA%C5%8B%C9%A1w%C9%99l" title="Rhymes:English/ɪŋɡwəl"><span class="IPA">-ɪŋɡwəl</span></a></li></ul>
buckeye	ˈbʌkaɪ
bucko	ˈbʌkoʊ
budge	bʌdʒ
buffet	ˈbʌfeɪ
buggery	ˈbʌɡəɹi
buhl	buːl
built	ˈbɪlt
bulbaceous	bʌlˈbeɪʃəs
bulgecin	ˈbʌldʒɪsɪn
bull	ˈbʊl
bullgine	ˈbʊld͡ʒɪn
bullseye	ˈbʊlzaɪ
bumble	ˈbʌmbəl
bummy	ˈbʌmi
bundt	bʌnt
bungo	ˈbʊŋɡəʊ
bunter	ˈbʌntə(ɹ)
buprenorphine	ˌbju.pɹəˈnɔɹˌfin
burgess	ˈbɜːdʒɪs
burning-glass	ˈbəːnɪŋɡlɑːs
buroo	bəˈɹuː
burro	ˈbɝoʊ
busby	ˈbʌz.bi
business	ˈbɪz.nɪz
buss	bʌs
busybodyish	ˈbɪzibɒdiɪʃ
butcherly	ˈbʊtʃəli
butter	ˈbʌtəɹ
buttermilk	ˈbʌtɚˌmɪlk
button	ˈbʌʔn̩
buy	baɪ
buzzing	ˈbʌzɪŋ
by Toutatis	ˌbaɪ tuːˈtɑːtɪs
bygone	ˈbaɪɡɒn
byrnie	ˈbɜːni
béguin	beɡiːn
bête de scène	beɪt də sɛn
caballer	kəˈbɑːlə(ɹ)
caboshed	kəˈbɒt͡ʃ
cachaça	kəˈʃɑː.sə
cack	kæk
cacoethical	ˌkakəʊˈiːθɪk(ə)l
cactus	ˈkæktʌs
caddy	ˈkædi
caecum	ˈsiː.kəm
caesar	ˈsizɚ
cafestol	kəˈfɛstɒl
caipirinha	ˌkaɪ.pɪˈɹiː.njə
caitiff	ˈkeɪtɪf
caked	keɪkt
calamondin	ˌkæləˈmɒndɪn
calcite	ˈkælˌsaɪt
calculus	ˈkæl.kjʊ.ləs
calendar	ˈkæl.ən.də
caliber	ˈkæl.ɪ.bə(ɹ)
caliginous	kəˈlɪdʒɪnəs
calk	kælk
calligram	ˈkælɪɡɹæm
callipygian	ˌkæ.ləˈpɪ.dʒi.ən
calmly	ˈkɑː(ɹ)m.li
calver	ˈkɑːvə
camber	ˈkæm.bə
cameo	ˈkæm.iː.əʊ
camion	ˈkamɪən
campestral	kæmˈpɛstɹəl
can haz	kæn hæz
canaliculus	ˌkænəˈlɪkjələs
cancelier	kænsəˈlɪə(ɹ)
candle	ˈkændl̩
canine	kəˈnaɪn
cannon	ˈkæn.ən
canola	kəˈnoʊlə
canrenone	ˈkæn.ɹəˌnoʊn
canteen	kænˈtin
cantle	ˈkantəl
cantrail	kæntˈɹeɪl
canzonet	kanzə(ʊ)ˈnɛt
capacity	kəˈpæsɪti
caper	ˈkeɪpɚ
capitalism	ˈkapɪt(ə)lɪz(ə)m
capot	kəˈpəʊ
capriccio	kəˈpriːt͡ʃoʊ
capsaicin	kæpˈseɪsən
captor	ˈkæptɚ
carabine	ˈkæɹəbɪn
caramel	ˈkæ.ɹə.mɛl
carb	kɑɹb
carbohydrate	kɑːbəʊˈhaɪdɹeɪt
carbyne	ˈkɑɹbɪn
card	kɑːd
careful	ˈkɛːfəl
caressive	kəˈɹɛsɪv
caring	ˈkɛə.ɹɪŋ
carline	ˈkɑːlɪn
carnal	ˈkɑɹnəl
carny	ˈkɑː(ɹ)ni
carpal	ˈkɑː(ɹ)pəl
carport	kɑː(ɹ).pɔːt
carronade	ˌkɛɹəˈneɪd
carte blanche	kɑɹtˈblɑnʃ
carting	ˈkɑːtɪŋ
cartwheel	ˈkɑːtˌwiːl
carving	ˈkɑɹvɪŋ
cascade	kæsˈkeɪd
casing	ˈkeɪsɪŋ
casteless	ˈkæstləs
casting	ˈkæstɪŋ
castrate	ˈkæs.tɹeɪt
casually	ˈkæʒwəli
cat burglar	kæt ˈbɜːɡlə
catamaran	ˈkæ.tə.məˌɹæn
cataphile	ˈkætəfaɪl
catastrophic	kætəˈstɹɒfɪk
catechol	ˈkæt.ɪk.ɒl
catenate	kæt.ə.neɪt
caterwauling	ˈkætəɹˌwɑlɪŋ
cathect	kəˈθɛkt
cathexis	kəˈθɛk sɪs
catoptric	kaˈtɒptɹɪk
caudron	ˈkɔːdɹən
cauma	kaʊˈmə
causticity	kɔːˈstɪsɪti
cavalcade	ˌkævəlˈkeɪd
cddr	ˈkʊdədɚ
cedi	ˈsiːdiː
cefepime	ˈsɛf.ə.piːm
cel	sɛl
celebutard	səˈlɛbjətɑɹd
celestial	səˈlɛs.ti.əl
cellophane	ˈsɛləfeɪn
cenesthesia	ˌsiːnɪsˈθiːzɪə
censor	ˈsɛnsə
centavo	sɛnˈtɑːvoʊ
centesimo	tʃɛnˈtɛzɪməʊ
centrifugalize	sɛnˈtɹɪfjəɡəlaɪz
cephalic	ˈsɛfəl(oʊ)-
cerago	sɪˈɹeɪɡəʊ
cercaria	sɜː(ɹ)ˈkɛəɹɪə
cerebrum	ˈsɛ.ɹɪb.ɹəm
certificate	səɹˈtɪfɪkɪt
cervical	sɜːˈvaɪ.kl̩
cesspool	ˈsɛsˌpuːl
cetraxate	sɪˈtɹækseɪt
ch-	tʃ
chaffer	ˈtʃæfə
chaining	ˈt͡ʃeɪnɪŋ
chaiwallah	ˈtʃaɪˌwɒlə
chalco-	ˈkælkoʊ
challenged	ˈt͡ʃæl.əndʒd
chamaephyte	ˈkæmiːfaɪt
chambranle	ˈʃɒmbɹɒnlə
champagne	ʃæmˈpeɪn
chancery	ˈt͡ʃænsəɹɪ
changing	ˈt͡ʃeɪndʒɪŋ
chanter	ˈtʃɑːntə
chaos	ˈkeɪ.ɒs
chapel de fer	ʃæˈpɛl də ˈfɛəɹ
chapleted	ˈt͡ʃæp.lɨɾɨd
chaqu	ˌt͡ʃɑːˈt͡ʃuː
charade	ʃəˈɹɑːd
chare	t͡ʃɛə
charter	ˈt͡ʃɑːtə
chaser	ˈtʃeɪsə
chassised	ˈʃæsiːd
chateaubriand	ˌʃatəʊˈbɹiːɒ̃
chatting	ˈt͡ʃætɪŋ
chauffer	ˈt͡ʃɔː.fə
chauvinism	ˈʃəʊ.vɪ.nɪ.zəm
check	t͡ʃɛk
cheer	t͡ʃɪə(ɹ)
cheesable	ˈt͡ʃiːzəbəl
cheesiness	ˈt͡ʃiːz.i.nəs
chemist	ˈkɛmɪst
chequy	ˈt͡ʃɛki
cherty	ˈt͡ʃɜɹti
chestnut	ˈt͡ʃɛst.nʌt
cheval	ʃɛˈvɑl
chewed	t͡ʃuːd
chiaroscuro	kɪˌɑːɹəˈskʊəɹəʊ
chic	ʃiːk
chieftaincy	ˈtʃiːftənsi
childhood	ˈt͡ʃaɪldhʊd
chill	t͡ʃɪl
chiltepin	t͡ʃɪlˈtɛpɪn
chiming	ˈt͡ʃaɪmɪŋ
chip	t͡ʃɪp
chipping	ˈt͡ʃɪpɪŋ
chiropodist	kɪˈrɒpədɪst
chiton	ˈkaɪtɑn
chivy	ˈt͡ʃɪvi
chlordecone	ˈklɔː(ɹ)dɪkəʊn
chloroform	ˈklɔːɹə(ʊ)ˌfɔː(ɹ)m
chocolate milk	ˌt͡ʃɑkɫɪtˈmɪɫk
choir	kwaɪə(ɹ)
choleraic	ˌkɒləˈɹeɪɪk
chomophyte	ˈkəʊməʊfaɪt
chookhouse	ˈtʃʊkhæɔs
chopper	ˈtʃɒp.ə
chordee	ˈkɔːdiː
chork	tʃɔːk
chough	t͡ʃʌf
chowderhead	ˈt͡ʃaʊdɚhɛd
chromatography	ˌkɹəʊ.məˈtɒɡɹə.fi
chronique scandaleuse	kɹəˈnik ˌskɑndəˈlɜːz
chronotropic	ˌkɹɒn.əˈtɹəʊ.pɪk
chrysopoeian	kɹɪsəˈpiːən
chubby	ˈtʃʌbi
chukka boot	ˈtʃʌkə buːt
chumsicle	ˈt͡ʃʌmsɪkl̩
chuppah	ˈhʊpə
churrasco	t͡ʃʊˈɹɑːskəʊ
chèvre	ˈʃɛvɹə
cicuta	sɪˈkjuːtə
cig	ˈsɪɡ
ciliolate	ˈsɪl.i.ə.lət
cimmerian	sɪˈmɪəɹ.ɪ.ən
cinder	ˈsɪndɚ
cingle	ˈsɪŋɡəl
cinquefoil	ˈsɪŋk.fɔɪl
circuition	səːkjʊˈɪʃ(ə)n
circumambulation	ˌsɝ.kəmˌæm.bjuˈleɪ.ʃən
circumflant	ˈsɜː(ɹ)kəmflənt
circumorbital	ˈsɜː(ɹ).kəmˌɔː(ɹ)b.ɪt.əl
circumvallate	sɜːkəmˈvæleɪt
cirque	sɜːk
cist	kɪst
citation needed	ˌsaɪˈteɪʃn̩ ˈniːdɪd
citric	ˈsɪtɹɪk
city lights	ˌsɪti ˈlaɪts
civilise	ˈsɪvɪlaɪz
civvy street	ˈsɪvi stɹiːt
cladistics	kləˈdɪs.tɪks
clairvoyance	klɛɹˈvɔɪəns
clamour	ˈklæm.ə
clanger	ˈklæŋ.ə(ɹ)
clapper	ˈklæpɚ
clarifier	ˈklɛɹ.ə.faɪ.əɹ
classification	ˌklæsɪfɪˈkeɪʃən
classy	ˈklæsi
clavichord	ˈklæv.ɪˌkɔːd
clavulanic acid	ˌklæv.jəˌlæn.ɪk ˈæs.ɪd
claymore	ˈkleɪmɔːɹ
cleanse	klɛnz
cleat	kliːt
cleido-	klʌɪ.də(ʊ)
clen	klɛn
clerihew	ˈklɛɹɨˌhjuː
clever-clever	ˈklɛvəklɛvə
cliché	ˈkliːʃeɪ
cliffhanger	ˌklɪfˈhæŋ.ə(ɹ)
climate strike	ˈklaɪmət straik
climograph	ˈklaɪ.mə.ɡɹæf
clingy	ˈklɪŋi
clinoid	ˈklaɪnɔɪd
clip	klɪp
clitic	ˈklɪtɪk
cloak	ˈkloʊk
clodhopper	ˈklɑdˌhɑpɚ
clonazepam	ˌkləʊˈnaz.ɪ.pam
clop	klɒp
close season	kləʊz siːzən
closet	ˈklɒzɪt
clothe	ˈkləʊð
clou	kluː
cloudscraper	klaʊdˈskɹeɪpə
clowder	klaʊ̯dɚ
cloyed	klɔɪd
clucking	ˈklʌkɪŋ
clumse	ˈklʌms
clutch	klʌt͡ʃ
cmavo	ˈʃmɑːvo
co-host	kəʊˈhəʊst
coak	ˈkəʊk
coarctation	ˌkəʊ.ɑːkˈteɪ.ʃn̩
cobb	kɒb
cobless	ˈkɒbləs
coccoidal	kɒˈkɔɪdəl
cock a deaf &#039;un	ˌkɒk ə ˈdɛf ən
coconut heart	ˈkoʊ.kə.nʌt hɑɹt
codex	ˈkəʊdɛks
codominant	kəʊˈdɒmɪnənt
coenose	ˈsiːnəʊs
coextinct	koʊɛkˈstɪŋkt
coffered	ˈkɒfəd
cogitant	ˈkɒdʒɪtənt
cognitive	ˈkɒɡnɪtɪv
cognoscible	kəɡˈnɒsɪbəl
cohesively	ˈkəʊˌhɪisɪv.li
coilgun	ˈkɔɪl.ɡʌn
coincident	ˈkəʊˌɪn.sɪ.dn̩t
coit	kɔɪt
cold sore	ˈkoʊld ˌsɔɹ
colic	ˈkɒl.ɪk
collagen	ˈkɒlədʒɪn
collateral	kəˈlætəɹəl
collective	kəˈlɛktɪv
collie	ˈkɒli
collocate	ˈkɒləkeɪt
colloquy	ˈkɒ.lə.kwi
colocalize	koʊˈloʊkəlaɪz
colonelcy	ˈkɜːnəlsi
color	ˈkʌl.ɚ
colossal	kəˈlɒsəl
columbine	ˈkɒləmbaɪn
combat	ˈkɒmˌbæt
combinator	ˈkɒm.bɪˌneɪ.tə(ɹ)
combustible	kəmˈbʌstɪbəl
comeback	ˈkʌmbæk
comes	kʌmz
comfort food	ˈkʌmfət ˌfuːd
comfrey	ˈkʌm.fɹi
comitative	ˈkɑmətətəv
commandery	kəˈmɑːnd(ə)ɹi
commend	kəˈmɛnd
comminute	ˈkɒ.mɪ.njuːt
commit to memory	kəˈmɪts tu ˈmɛm(ə)ɹi
common	ˈkɒmən
communications	kəˌmjuːnɪˈkeɪʃənz
comorbidity	ˌkəʊmɔː(ɹ)ˈbɪdɪti
compaginate	kəmˈpædʒɪneɪt
compare	kəmˈpɛɚ
compassionate	kəmˈpæʃənət
compensation	ˌkɒmpɛnˈseɪʃən
competing	kəmˈpiːtɪŋ
compilement	kɒmˈpaɪlmənt
complainer	kəmˈpleɪnɚ
completed	kəmˈpliːtɪd
complicated	ˈkɑmplɪkeɪtɪd
compose	kəmˈpoʊz
composure	kəmˈpoʊʒɚ
comprehensiveness	kɑmpɹɪˈhɛnsɪvnəs
comptible	ˈkɒmp.tə.bəl
computer	kəmˈpjuːtə
comrade	ˈkɒmɹeɪd
concede	kənˈsiːd
concept	ˈkɒn.sɛpt
concerto	kənˈtʃɛɹtoʊ
conchology	kɒŋˈkɒlədʒi
conclude	kən.ˈkluːd
concordat	kənˈkɔːdæt
concupiscible	kənˈkjuːpɪsɪbəl
condensate	ˈkɒndənseɪt
condition	kənˈdɪʃən
condor	ˈkɒndɔː(ɹ)
conduit	ˈkɒndɪt
confection	kənˈfɛkʃən
confessed	kənˈfɛst
confide	kənˈfaɪd
confine	kənˈfaɪn
conflagrant	kɒnˈfleɪɡɹənt
conform	kənˈfɔːm
confronté	kɒnˈfɹʌnteɪ
congeal	kənˈdʒiːl
congestee	kɒn.dʒɛstˈiː
congrats	kənˈɡɹæts
congruent	ˈkɒŋ.ɡɹu.ənt
conjugation	ˌkɒnd͡ʒəˈɡeɪʃən
conjurer	ˈkʌndʒəɹə(ɹ)
connascence	kəˈnæsəns
connixation	kɒnɪksˈeɪʃən
conqueror	ˈkɑŋkəɹɚ
conscionable	ˈkɔn.ʃən.bəl
consensual	kənˈsɛnʃuəl
conservatory	kənˈsɜː.və.tɹi
considered	kənˈsɪdɚd
consistent	kənˈsɪstənt
consonant	ˈkɒn.sə.nənt
conspiracy	kənˈspɪɹəsi
constancy	ˈkɑnstənsi
consternation	ˌkɒn.stəˈneɪ.ʃən
constrain	kənˈstɹeɪn
construction	kənˈstɹʌkʃən
consult	kənˈsʌlt
contabescent	ˌkɒntəˈbɛsənt
contamination	kənˌtæmɪˈneɪʃən
contemporaneously	ˌkɒntɛmpəˈɹeɪni.əsli
content management system	ˈkɒntɛnt ˈmænɪdʒmənt ˈsɪstəm
conterminate	kɒnˈtɜː(ɹ)mɪnət
contiguous	kənˈtɪɡjuəs
continually	kənˈtɪnjuəli
contoid	ˈkɒn.tɔɪd
contractor	ˈkɒnˌtɹæk.tə(ɹ)
contraption	kənˈtɹæp.ʃən
controlling	kənˈtɹoʊlɪŋ
contumelious	ˌkɒn.tjʊˈmiː.li.əs
convel	kənˈvɛl
convention	ˌkɒnˈvɛn.ʃən
conversate	ˈkɑːn.vɚˌseɪt
convex	ˈkɒn.vɛks
convincing	kənˈvɪnsɪŋ
convulsion	kənˈvʌlʃən
cooee	ˈkuːiː
cooker	ˈkʊkɚ
cooler	ˈkuːl.ə(ɹ)
coolness	ˈkuːlnəs
cooperation	koʊˌɒpəˈɹeɪʃən
cooter	ˈkutɚ
cope	kəʊp
copper	ˈkɔp.ə
coprocoenosis	kɑ.prʊˈsiːnəʊsəs
copulate	ˈkɒp.jʊ.leɪt
cor blimey	kɔːˈblaɪ.mi
cordate	ˈkɔːdeɪt
cordon sanitaire	ˌkɔːdɒn sanɪˈtɛː
corkscrew	ˈkɔːk.skɹuː
corner	ˈkɔɹnɚ
cornhole	ˈkɔɹnˌhoʊl
corny	ˈkɔːni
coronavirus	kəˈɹəʊnəˌvaɪɹəs
corporation	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/e%C9%AA%CA%83%C9%99n" title="Rhymes:English/eɪʃən"><span class="IPA">-eɪʃən</span></a></li>
corpulent	ˈkɔːpjʊlənt
correction	kəˈɹɛkʃən
correus debendi	ˈkɒɹɪəs dɪˈbɛndaɪ
corrugate	ˈkɒrʊɡeɪt
corsair	ˈkɔːsɛː
cortado	kɔɹˈtɑdoʊ
corytophanid	ˌkɒɹɪtəʊˈfænɪd
cosmopolitan	ˌkɒz.məˈpɒl.ɪ.tən
cost	ˈkɒst
costen	ˈkɒ.sən
cosyntropin	kəʊˈsɪntɹəpɪn
cothurn	ˈkɒθə(ɹ)n
cotton wool	ˈkɒtən wʊl
couchee	kuːˈʃeɪ
coulee	ˈkuli
count	kaʊnt
