-ahtaa	-ɑhtɑːˣ
kuutiomitta	ˈkuːtioˌmitːɑ
kuva	ˈkuʋɑ
kuvaamattomasti	ˈkuʋɑːmɑtːomɑstiˣ
kuvaileminen	ˈkuʋɑi̯leminen
kuvajoukko	ˈkuʋɑˌjou̯kːo
kuvakoko	ˈkuʋɑˌkoko
kuvallinen	ˈkuʋɑlːinen
kuvankaunis	ˈkuʋɑnˌkɑu̯nis
kuvantaminen	ˈkuʋɑntɑminen
kuvapinta	ˈkuʋɑˌpintɑ
kuvasanaristikko	ˈkuʋɑˌsɑnɑˌristikːo
kuvastua	ˈkuʋɑstuɑˣ
kuvatallenne	ˈkuʋɑˌtɑlːenːeˣ
kuvatulkinta	ˈkuʋɑˌtulkintɑ
kuvaussihteeri	ˈkuʋɑusˌsihteːri
kuvio	ˈkuʋio
kuviomerkki	ˈkuʋioˌmerkːi
kuvitteellinen	ˈkuʋitːeːlːinen
kvadraattisesti	ˈkʋɑdrɑːtːisestiˣ
kvantittunut	ˈkʋɑntitːunut
kvanttisuhde	ˈkʋɑntːiˌsuhdeˣ
kvartetti	ˈkʋɑrtetːi
kvasikide	ˈkʋɑsiˌkideˣ
kvintiini	ˈkʋintiːni
kydöttäminen	ˈkydøtːæminen
kyhätä	ˈkyhætæˣ
kyljitysten	ˈkyljitysten
kylkipala	ˈkylkiˌpɑlɑ
kyllyys	ˈkylːyːs
kyllästymätön	ˈkylːæstymætøn
kyllästäminen	ˈkylːæstæminen
kylmetä	ˈkylmetæˣ
kylmähauraus	ˈkylmæˌhɑu̯rɑus
kylmäkassi	ˈkylmæˌkɑsːi
kylmälaite	ˈkylmæˌlɑi̯teˣ
kylmänkestävä	ˈkylmænˌkestæʋæ
kylmäpuristus	ˈkylmæˌpuristus
kylmäsydäminen	ˈkylmæˌsydæm(ː)inen
kylmävalssaus	ˈkylmæˌʋɑlsːɑus
kylpeä	ˈkylpeæˣ
kylpyläkaupunki	ˈkylpylæˌkɑu̯puŋki
kylväjä	ˈkylʋæjæ
kylvöpuuro	ˈkylʋøˌpuːro
kyly	ˈkyly
kyläkokous	ˈkylæˌkokous
kylänraitti	ˈkylænˌrɑi̯tːi
kylätappelu	ˈkylæˌtɑpːelu
kymmen	ˈkymːen
kymmenestuhannes	ˈkymːenesˌtuhɑnːes
kymmenlukuinen	ˈkymːenˌlukui̯nen
kymmentuntinen	ˈkymːenˌtuntinen
kymnasisti	ˈkymnɑsisti
kyniä	ˈkyniæˣ
kynnyspuu	ˈkynːysˌpuː
kynsihoitola	ˈkynsiˌhoi̯tolɑ
kynsinauha	ˈkynsiˌnɑu̯hɑ
kynttelikkö	ˈkyntːelikːø
kynttilänpoltto	ˈkyntːilænˌpoltːo
kyntöpelto	ˈkyntøˌpelto
kynäkirjoitus	ˈkynæˌkirjoi̯tus
kynäsota	ˈkynæˌsotɑ
kypsyttely	ˈkypsytːely
kypsänkeltainen	ˈkypsænˌkeltɑi̯nen
kyrpiintyä	ˈkyrpiːntyæˣ
kyräilijä	ˈkyræi̯lijæ
kyseistää	ˈkysei̯stæːˣ
kysta	ˈkystɑ
kysymyssana	ˈkysymysˌsɑnɑ
kyteminen	ˈkyteminen
kytkeä	ˈkytkeæˣ
kytkös	ˈkytkøs
kytätä	ˈkytætæˣ
kyyditys	ˈkyːditys
kyykkypaska	ˈkyːkːyˌpɑskɑ
kyykystä	ˈkyːkystæ
kyynelkaasupistooli	ˈkyːnelˌkɑːsuˌpistoːli
kyynelöityä	ˈkyːneløi̯tyæˣ
kyynärä	ˈkyːnæræ
kyyryhaikara	ˈkyːryˌhɑi̯kɑrɑ
kyyröttää	ˈkyːrøtːæːˣ
kyä	ˈkyæ
kädensuojus	ˈkædenˌsuo̯jus
kädetys	ˈkædetys
kähertyä	ˈkæhertyæˣ
kähveltää	ˈkæhʋeltæːˣ
kähärätukkainen	ˈkæhæræˌtukːɑi̯nen
käkätys	ˈkækætys
kälynen	ˈkælynen
kämmenmikro	ˈkæmːenˌmikro
kämmäys	ˈkæmːæys
känni	ˈkænːi
kännätä	ˈkænːætæˣ
käpistely	ˈkæpistely
käpy	ˈkæpy
käpypalmu	ˈkæpyˌpɑlmu
käreys	ˈkæreys
kärjekkyys	ˈkærjekːyːs
kärkevyys	ˈkærkeʋyːs
kärkijäsen	ˈkærkiˌjæsen
kärkinivel	ˈkærkiˌniʋel
kärkisorvi	ˈkærkiˌsorʋi
kärkkäri	ˈkærkːæri
kärpässarja	ˈkærpæsˌsɑrjɑ
kärrytä	ˈkærːytæˣ
kärsimättömyys	ˈkærsimætːømyːs
kärventyminen	ˈkærʋentyminen
kärytä	ˈkærytæˣ
käräjäkunta	ˈkæræjæˌkuntɑ
käräjäympyrä	ˈkæræjæˌympyræ
käsialantutkija	ˈkæsiˌɑlɑnˌtutkijɑ
käsiensuojain	ˈkæsienˌsuo̯jɑi̯n
käsikirjasto	ˈkæsiˌkirjɑsto
käsikopelolta	ˈkæsiˌkopeloltɑ
käsiliike	ˈkæsiˌliːkeˣ
käsinepari	ˈkæsineˣˌpɑri
käsinseisonta	ˈkæsinˌsei̯sontɑ
käsipeli	ˈkæsiˌpeli
käsipuu	ˈkæsiˌpuː
käsisyöttö	ˈkæsiˌsyø̯tːø
käsiteltävyys	ˈkæsiteltæʋyːs
käsitteellisesti	ˈkæsitːeːlːisestiˣ
käsittelypalvelu	ˈkæsitːelyˌpɑlʋelu
käsityksin	ˈkæsityksin
käsityökasvatus	ˈkæsiˌtyø̯ˌkɑsʋɑtus
käsityöneuvos	ˈkæsiˌtyø̯ˌneu̯ʋos
käsityötarvike	ˈkæsiˌtyø̯ˌtɑrʋikeˣ
käsivaralla	ˈkæsiˌʋɑrɑlːɑ
käsivarsinauha	ˈkæsiˌʋɑrsiˌnɑu̯hɑ
käsky	ˈkæsky
käskytys	ˈkæskytys
käteismyynti	ˈkætei̯sˌmyːnti
kätevästi	ˈkæteʋæstiˣ
kätkä	ˈkætkæ
kättä pitempi	ˈkætːæ ˈpitempi
kävelyetäisyys	ˈkæʋelyˌetæi̯syːs
kävelytapa	ˈkæʋelyˌtɑpɑ
käväistä	ˈkæʋæi̯stæˣ
käydä päinsä	ˈkæy̯dæˣ ˈpæi̯nsæˣ
käymätön	ˈkæy̯mætøn
käynnistysmoottori	ˈkæy̯nːistysˌmoːtːori
käyntiinpano	ˈkæy̯ntiːnˌpɑno
käyntitapa	ˈkæy̯ntiˌtɑpɑ
käyristymä	ˈkæy̯ristymæ
käyrätorvi	ˈkæy̯ræˌtorʋi
käyttäjä	ˈkæy̯tːæjæ
käyttäjätila	ˈkæy̯tːæjæˌtilɑ
käyttäytymisnormi	ˈkæy̯tːæy̯tymisˌnormi
käyttöakseli	ˈkæy̯tːøˌɑkseli
käyttöinsinööri	ˈkæy̯tːøˌinsinøːri
käyttölaite	ˈkæy̯tːøˌlɑi̯teˣ
käyttöohjekirja	ˈkæy̯tːøˌohjeˣˌkirjɑ
käyttötaide	ˈkæy̯tːøˌtɑi̯deˣ
käyttövalmis	ˈkæy̯tːøˌʋɑlmis
käytännöllinen	ˈkæy̯tænːølːinen
käytönvalvontajärjestelmä	ˈkæy̯tønˌʋɑlʋontɑˌjærjestelmæ
käämi	ˈkæːmi
käännynnäinen	ˈkæːnːynːæi̯nen
käännösaika	ˈkæːnːøsˌɑi̯kɑ
käännöstehtävä	ˈkæːnːøsˌtehtæʋæ
käänteisesti	ˈkæːntei̯sestiˣ
kääntely	ˈkæːntely
kääntäjä	ˈkæːntæjæ
kääntöpaikka	ˈkæːntøˌpɑi̯kːɑ
kääpiöityminen	ˈkæːpiøi̯tyminen
kääpiösarjalainen	ˈkæːpiøˌsɑrjɑlɑi̯nen
käärepaperi	ˈkæːreˣˌpɑperi
käärmeenpisto	ˈkæːrmeːnˌpisto
käärmenainen	ˈkæːrmeˣˌnɑi̯nen
köhittää	ˈkøhitːæːˣ
kölinlasku	ˈkølinˌlɑsku
kömmähtäminen	ˈkømːæhtæminen
könkkö	ˈkøŋkːø
köntystely	ˈkøntystely
körttipuku	ˈkørtːiˌpuku
köyhtyminen	ˈkøy̯htyminen
köyhälistökortteli	ˈkøy̯hælistøˌkortːeli
köynnös	ˈkøy̯nːøs
köyryinen	ˈkøy̯ryi̯nen
köysikela	ˈkøy̯siˌkelɑ
köyttäminen	ˈkøy̯tːæminen
laahaaminen	ˈlɑːhɑːminen
laahusnuotta	ˈlɑːhusˌnuo̯tːɑ
laajakantoinen	ˈlɑːjɑˌkɑntoi̯nen
laajanäkemyksinen	ˈlɑːjɑˌnækemyksinen
laajaulotteinen	ˈlɑːjɑˌulotːei̯nen
laajennus	ˈlɑːjenːus
laakafilmikamera	ˈlɑːkɑˌfilmiˌkɑmerɑ
laakapallo	ˈlɑːkɑˌpɑlːo
laakavarsi	ˈlɑːkɑˌʋɑrsi
laakerinmarja	ˈlɑːkerinˌmɑrjɑ
laapiskivi	ˈlɑːpisˌkiʋi
laastipinta	ˈlɑːstiˌpintɑ
laatikkoonkanto	ˈlɑːtikːoːnˌkɑnto
laattakirja	ˈlɑːtːɑˌkirjɑ
laatuinen	ˈlɑːtui̯nen
laatuluokitus	ˈlɑːtuˌluo̯kitus
laatutaso	ˈlɑːtuˌtɑso
laatuvaatimus	ˈlɑːtuˌʋɑːtimus
labiilius	ˈlɑbiːlius
laboratoriolääketiede	ˈlɑborɑtorioˌlæːkeˣˌtie̯deˣ
ladata	ˈlɑdɑtɑˣ
lahdenpohja	ˈlɑhdenˌpohjɑ
lahjananto	ˈlɑhjɑnˌɑnto
lahjavarat	ˈlɑhjɑˌʋɑrɑt
lahjoma	ˈlɑhjomɑ
lahoamistila	ˈlɑhoɑmisˌtilɑ
lahota	ˈlɑhotɑˣ
lahtaus	ˈlɑhtɑus
laidemmalle	ˈlɑi̯demːɑlːeˣ
laidunkausi	ˈlɑi̯dunˌkɑu̯si
laiha	ˈlɑi̯hɑ
laihennus	ˈlɑi̯henːus
laika	ˈlɑi̯kɑ
laimenne	ˈlɑi̯menːeˣ
laina-anomus	ˈlɑi̯nɑˌ(ʔ)ɑnomus
lainakirjasto	ˈlɑi̯nɑˌkirjɑsto
lainasopimus	ˈlɑi̯nɑˌsopimus
laineittaa	ˈlɑi̯nei̯tːɑːˣ
laini	ˈlɑi̯ni
lainomainen	ˈlɑi̯nˌomɑi̯nen
lainsäädäntöneuvos	ˈlɑi̯nˌsæːdæntøˌneu̯ʋos
lainvalvoja	ˈlɑi̯nˌʋɑlʋojɑ
laippa	ˈlɑi̯pːɑ
laiskanpäivä	ˈlɑi̯skɑnˌpæi̯ʋæ
laistaminen	ˈlɑi̯stɑminen
laitamyötäinen	ˈlɑi̯tɑˌmyø̯tæi̯nen
laitelmisto	ˈlɑi̯telmisto
laitos	ˈlɑi̯tos
laitosmuotoinen	ˈlɑi̯tosˌmuo̯toi̯nen
laittaa	ˈlɑi̯tːɑːˣ
laiturimaksu	ˈlɑi̯turiˌmɑksu
laivajuna	ˈlɑi̯ʋɑˌjunɑ
laivalippu	ˈlɑi̯ʋɑˌlipːu
laivamuonitus	ˈlɑi̯ʋɑˌmuo̯nitus
laivanselvitys	ˈlɑi̯ʋɑnˌselʋitys
laivasatama	ˈlɑi̯ʋɑˌsɑtɑmɑ
laivatokka	ˈlɑi̯ʋɑˌtokːɑ
laivavuoro	ˈlɑi̯ʋɑˌʋuo̯ro
lajienvälinen	ˈlɑjienˌʋælinen
lajiristeymä	ˈlɑjiˌristey̯mæ
lajittelulaite	ˈlɑjitːeluˌlɑi̯teˣ
lakaisukone	ˈlɑkɑi̯suˌkoneˣ
lakea	ˈlɑkeɑ
lakiasia	ˈlɑkiˌɑsiɑ
lakimuutos	ˈlɑkiˌmuːtos
lakitiede	ˈlɑkiˌtie̯deˣ
lakkalikööri	ˈlɑkːɑˌlikøːri
lakkautus	ˈlɑkːɑu̯tus
lakkoileminen	ˈlɑkːoi̯leminen
lakkorintama	ˈlɑkːoˌrintɑmɑ
lakonalainen	ˈlɑkonˌɑlɑi̯nen
lakritsijäätelö	ˈlɑkritsiˌjæːtelø
laktaasientsyymi	ˈlɑktɑːsiˌentsyːmi
lamaannustila	ˈlɑmɑːnːusˌtilɑ
lambda	ˈlɑmbdɑ
laminaattilevy	ˈlɑminɑːtːiˌleʋy
lammaspaisti	ˈlɑmːɑsˌpɑi̯sti
lamoava	ˈlɑmoɑʋɑ
lampaannata	ˈlɑmpɑːnˌnɑtɑ
lampi	ˈlɑmpi
lampunjalka	ˈlɑmpunˌjɑlkɑ
lana	ˈlɑnɑ
langoittaa	ˈlɑŋːoi̯tːɑːˣ
lankalasi	ˈlɑŋkɑˌlɑsi
lankasilmukka	ˈlɑŋkɑˌsilmukːɑ
lankeaminen	ˈlɑŋkeɑminen
lankomies	ˈlɑŋkoˌmie̯s
lanne	ˈlɑnːeˣ
lannoite	ˈlɑnːoi̯teˣ
lanoliinipitoinen	ˈlɑnoliːniˌpitoi̯nen
lantakuoriainen	ˈlɑntɑˌkuo̯riɑi̯nen
lantavesikaivo	ˈlɑntɑˌʋesiˌkɑi̯ʋo
lantionseutu	ˈlɑntionˌseu̯tu
lanttuperhonen	ˈlɑntːuˌperhonen
lapakulma	ˈlɑpɑˌkulmɑ
lape	ˈlɑpeˣ
lapinkoira	ˈlɑpinˌkoi̯rɑ
lapinraunio	ˈlɑpinˌrɑu̯nio
lapiosarvi	ˈlɑpioˌsɑrʋi
lappalaispuku	ˈlɑpːɑlɑi̯sˌpuku
lappilaisuus	ˈlɑpːilɑi̯suːs
lapsenhoito	ˈlɑpsenˌhoi̯to
lapsenruokko	ˈlɑpsenˌruo̯kːo
lapsettaa	ˈlɑpsetːɑːˣ
lapsiavioliitto	ˈlɑpsiˌɑʋioˌliːtːo
lapsilukko	ˈlɑpsiˌlukːo
lapsiportti	ˈlɑpsiˌportːi
lapsirikollinen	ˈlɑpsiˌrikolːinen
lapsiystävällinen	ˈlɑpsiˌystæʋælːinen
lapsuusikä	ˈlɑpsuːsˌikæ
larpata	ˈlɑrpɑtɑˣ
lasagnelevy	ˈlɑsɑɡneˌleʋy
laserkeilain	ˈlɑ(ː)serˌkei̯lɑi̯n
lasertuloste	ˈlɑ(ː)serˌtulosteˣ
lasikannu	ˈlɑsiˌkɑnːu
lasikuitumuovi	ˈlɑsiˌkui̯tuˌmuo̯ʋi
lasikulho	ˈlɑsiˌkulho
lasinegatiivi	ˈlɑsiˌneɡɑtiːʋi
lasinpalanen	ˈlɑsinˌpɑlɑnen
lasirakenne	ˈlɑsiˌrɑkenːeˣ
lasisto	ˈlɑsisto
lasittua	ˈlɑsitːuɑˣ
lasiveistos	ˈlɑsiˌʋei̯stos
laskentamenetelmä	ˈlɑskentɑˌmenetelmæ
laskettelusuksi	ˈlɑsketːeluˌsuksi
laskimonlaajentuma	ˈlɑskimonˌlɑːjentumɑ
laskossauma	ˈlɑskosˌsɑu̯mɑ
laskujoki	ˈlɑskuˌjoki
laskukynnys	ˈlɑskuˌkynːys
laskutehtävä	ˈlɑskuˌtehtæʋæ
laskuvarjoneekeri	ˈlɑskuˌʋɑrjoˌneːkeri
lastauttaa	ˈlɑstɑutːɑːˣ
lastenkieli	ˈlɑstenˌkie̯li
lastenlaulu	ˈlɑstenˌlɑu̯lu
lastenperinne	ˈlɑstenˌperinːeˣ
lastensairaala	ˈlɑstenˌsɑi̯rɑːlɑ
lastenvaunut	ˈlɑstenˌʋɑu̯nut
lastoitus	ˈlɑstoi̯tus
lastuttavuus	ˈlɑstutːɑʋuːs
latauspiste	ˈlɑtɑusˌpisteˣ
lateraali	ˈlɑterɑːli
latinki	ˈlɑtiŋki
latomeri	ˈlɑtoˌmeri
lattaritanssi	ˈlɑtːɑriˌtɑnsːi
lattiakanava	ˈlɑtːiɑˌkɑnɑʋɑ
lattianalus	ˈlɑtːiɑnˌɑlus
lattianpäällystäjä	ˈlɑtːiɑnˌpæːlːystæjæ
lattiatäyte	ˈlɑtːiɑˌtæy̯teˣ
latukone	ˈlɑtuˌkoneˣ
latvakasvain	ˈlɑtʋɑˌkɑsʋɑi̯n
latvialainen	ˈlɑtʋiɑlɑi̯nen
lauantaipäivä	ˈlɑu̯ɑntɑi̯ˌpæi̯ʋæ
laudaturylioppilas	ˈlɑu̯dɑ(ː)t(ː)urˌyliˌopːilɑs
lauhdepumppu	ˈlɑu̯hdeˣˌpumpːu
lauhtuminen	ˈlɑu̯htuminen
laukaisuteline	ˈlɑu̯kɑi̯suˌtelineˣ
laukkaava	ˈlɑu̯kːɑːʋɑ
laukkukauppa	ˈlɑu̯kːuˌkɑu̯pːɑ
laulattaa	ˈlɑu̯lɑtːɑːˣ
laulukuoro	ˈlɑu̯luˌkuo̯ro
laulunopas	ˈlɑu̯lunˌopɑs
laulurunous	ˈlɑu̯luˌrunous
laulutaito	ˈlɑu̯luˌtɑi̯to
laumaihminen	ˈlɑu̯mɑˌihminen
lauseenlisäke	ˈlɑu̯seːnˌlisækeˣ
lausetyyppi	ˈlɑu̯seˣˌtyːpːi
lausuntakuoro	ˈlɑu̯suntɑˌkuo̯ro
lauta-aita	ˈlɑu̯tɑˌ(ʔ)ɑi̯tɑ
lautanauha	ˈlɑu̯tɑˌnɑu̯hɑ
lautasliinatekniikka	ˈlɑu̯tɑsˌliːnɑˌtekniːkːɑ
lauttaliikenne	ˈlɑu̯tːɑˌliːkenːeˣ
lava	ˈlɑʋɑ
lavantautiepidemia	ˈlɑʋɑnˌtɑu̯tiˌepidemiɑ
lavastustaide	ˈlɑʋɑstusˌtɑi̯deˣ
laveeraus	ˈlɑʋeːrɑus
laveta	ˈlɑʋetɑˣ
leasing	ˈliːsiŋː
ledinäyttö	ˈlediˌnæy̯tːø
legaatti	ˈleɡɑːtːi
lehahdella	ˈlehɑhdelːɑˣ
lehdistökirjoittelu	ˈlehdistøˌkirjoi̯tːelu
lehmipoika	ˈlehmiˌpoi̯kɑ
lehmänkauppa	ˈlehmænˌkɑu̯pːɑ
lehtevä	ˈlehteʋæ
lehtiharava	ˈlehtiˌhɑrɑʋɑ
lehtikirva	ˈlehtiˌkirʋɑ
lehtimaja	ˈlehtiˌmɑjɑ
lehtisarvinen	ˈlehtiˌsɑrʋinen
lehtitieto	ˈlehtiˌtie̯to
lehto	ˈlehto
lehvistö	ˈlehʋistø
leijonahäkki	ˈlei̯jonɑˌhækːi
leijonapaitainen	ˈlei̯jonɑˌpɑi̯tɑi̯nen
leikata	ˈlei̯kɑtɑˣ
leikillisyys	ˈlei̯kilːisyːs
leikinteko	ˈlei̯kinˌteko
leikkaushoito	ˈlei̯kːɑusˌhoi̯to
leikkauspinta	ˈlei̯kːɑusˌpintɑ
leikkelepöytä	ˈlei̯kːeleˣˌpøy̯tæ
leikkikaveri	ˈlei̯kːiˌkɑʋeri
leikkiperinne	ˈlei̯kːiˌperinːeˣ
leikkitoiminta	ˈlei̯kːiˌtoi̯mintɑ
leikkuu	ˈlei̯kːuː
leili	ˈlei̯li
leimahtaminen	ˈlei̯mɑhtɑminen
leimautua	ˈlei̯mɑu̯tuɑˣ
leipomohiiva	ˈlei̯pomoˌhiːʋɑ
leipähäkki	ˈlei̯pæˌhækːi
leipäpalanen	ˈlei̯pæˌpɑlɑnen
leipävanukas	ˈlei̯pæˌʋɑnukɑs
leirikoulu	ˈlei̯riˌkou̯lu
leiskahtaa	ˈlei̯skɑhtɑːˣ
leivinpöytä	ˈlei̯ʋinˌpøy̯tæ
leivos	ˈlei̯ʋos
leivänpalanen	ˈlei̯ʋænˌpɑlɑnen
lekottelu	ˈlekotːelu
lellikkipoika	ˈlelːikːiˌpoi̯kɑ
lemahdus	ˈlemɑhdus
lemmenjumala	ˈlemːenˌjumɑlɑ
lemmenlyriikka	ˈlemːenˌlyriːkːɑ
lemmenyö	ˈlemːenˌyø̯
lempiharrastus	ˈlempiˌhɑrːɑstus
lempiruoka	ˈlempiˌruo̯kɑ
lempääläinen	ˈlempæːlæi̯nen
lenkkeilyjalkine	ˈleŋkːei̯lyˌjɑlkineˣ
lenkko	ˈleŋkːo
lennonopettaja	ˈlenːonˌopetːɑjɑ
lennätinlaitos	ˈlenːætinˌlɑi̯tos
lentoambulanssi	ˈlentoˌɑmbulɑnsːi
lentokoneellinen	ˈlentoˌkoneːlːinen
lentokonetekniikka	ˈlentoˌkoneˣˌtekniːkːɑ
lentolannoitus	ˈlentoˌlɑnːoi̯tus
lentomekaanikko	ˈlentoˌmekɑːnikːo
lentopalloilija	ˈlentoˌpɑlːoi̯lijɑ
lentopäiväkirja	ˈlentoˌpæi̯ʋæˌkirjɑ
lentosuunta	ˈlentoˌsuːntɑ
lentotiedustelu	ˈlentoˌtie̯dustelu
lentovaneri	ˈlentoˌʋɑneri
lentää	ˈlentæːˣ
lepertely	ˈlepertely
lepoitiö	ˈlepoˌitiø
leposävel	ˈlepoˌsæʋel
leppoisuus	ˈlepːoi̯suːs
leptosomi	ˈleptosomi
lepytysuhri	ˈlepytysˌuhri
lerpalle	ˈlerpɑlːeˣ
lese	ˈleseˣ
lesoilla	ˈlesoi̯lːɑˣ
lesty	ˈlesty
letkauttaminen	ˈletkɑutːɑminen
lettipää	ˈletːiˌpæː
leuanalus	ˈleu̯ɑnˌɑlus
leuhkiminen	ˈleu̯hkiminen
leukaperä	ˈleu̯kɑˌperæ
leukotrieeni	ˈleu̯kotrieːni
leventyä	ˈleʋentyæˣ
leveähuulisarvikuono	ˈleʋeæˌhuːliˌsɑrʋiˌkuo̯no
leveäsarvinen	ˈleʋeæˌsɑrʋinen
levitoiminen	ˈleʋitoi̯minen
levollisesti	ˈleʋolːisestiˣ
levyke	ˈleʋykeˣ
levypyörä	ˈleʋyˌpyø̯ræ
levyttäminen	ˈleʋytːæminen
levähtäminen	ˈleʋæhtæminen
leväyttää	ˈleʋæytːæːˣ
liberaalipuolue	ˈliberɑːliˌpuo̯lueˣ
libertarismi	ˈlibertɑrismi
lidukki	ˈlidukːi
liehauttaa	ˈlie̯hɑutːɑːˣ
liejupohja	ˈlie̯juˌpohjɑ
liekkiviina	ˈlie̯kːiˌʋiːnɑ
liemikuppi	ˈlie̯miˌkupːi
lientyä	ˈlie̯ntyæˣ
liero	ˈlie̯ro
lieskauuni	ˈlie̯skɑˌuːni
lietemaa	ˈlie̯teˣˌmɑː
lietsonta	ˈlie̯tsontɑ
liettää	ˈlie̯tːæːˣ
lievittävä	ˈlie̯ʋitːæʋæ
lihahyytelö	ˈlihɑˌhyːtelø
lihakuutio	ˈlihɑˌkuːtio
lihamuhennos	ˈlihɑˌmuhenːos
lihantuotanto	ˈlihɑnˌtuo̯tɑnto
lihapitoisuus	ˈlihɑˌpitoi̯suːs
lihasheikkous	ˈlihɑsˌhei̯kːous
lihaskäämi	ˈlihɑsˌkæːmi
lihassairaus	ˈlihɑsˌsɑi̯rɑus
lihasäilyke	ˈlihɑˌsæi̯lykeˣ
lihavoida	ˈlihɑʋoi̯dɑˣ
lihotusruokinta	ˈlihotusˌruo̯kintɑ
liidättää	ˈliːdætːæːˣ
liikahtaa	ˈliːkɑhtɑːˣ
liikamäärä	ˈliːkɑˌmæːræ
liikatoiminta	ˈliːkɑˌtoi̯mintɑ
liikeapulainen	ˈliːkeˣˌɑpulɑi̯nen
liikehuoneisto	ˈliːkeˣˌhuo̯nei̯sto
liikekirjanpito	ˈliːkeˣˌkirjɑnˌpito
liikematkustaja	ˈliːkeˣˌmɑtkustɑjɑ
liikenneinsinööri	ˈliːkenːeˣˌinsinøːri
liikennekulttuuri	ˈliːkenːeˣˌkultːuːri
liikennemuoto	ˈliːkenːeˣˌmuo̯to
liikennepoliisi	ˈliːkenːeˣˌpoliːsi
liikennesuunnitelma	ˈliːkenːeˣˌsuːnːitelmɑ
liikennevalistus	ˈliːkenːeˣˌʋɑlistus
liikennöijä	ˈliːkenːøi̯jæ
liikenteenvalvontakamera	ˈliːkenteːnˌʋɑlʋontɑˌkɑmerɑ
liikesuhde	ˈliːkeˣˌsuhdeˣ
liiketila	ˈliːkeˣˌtilɑ
liiketuttava	ˈliːkeˣˌtutːɑʋɑ
liikka	ˈliːkːɑ
liikkeenluovutus	ˈliːkːeːnˌluo̯ʋutus
liikkuma-ala	ˈliːkːumɑˌ(ʔ)ɑlɑ
liikkuvainen	ˈliːkːuʋɑi̯nen
liikuntaeste	ˈliːkuntɑˌesteˣ
liikuntakykyinen	ˈliːkuntɑˌkykyi̯nen
liikuntaneuvonta	ˈliːkuntɑˌneu̯ʋontɑ
liikuntasauma	ˈliːkuntɑˌsɑu̯mɑ
liikuntatutkimus	ˈliːkuntɑˌtutkimus
liikuttavuus	ˈliːkutːɑʋuːs
liimakorva	ˈliːmɑˌkorʋɑ
liimapintainen	ˈliːmɑˌpintɑi̯nen
liimatahra	ˈliːmɑˌtɑhrɑ
liinaharjainen	ˈliːnɑˌhɑrjɑi̯nen
liioitteleminen	ˈliːoi̯tːeleminen
liippakivi	ˈliːpːɑˌkiʋi
liiskaantua	ˈliːskɑːntuɑˣ
liisteröityminen	ˈliːsterøi̯tyminen
liitolento	ˈliːtoˌlento
liitto	ˈliːtːo
liittotempus	ˈliːtːoˌtempus
liittymä	ˈliːtːymæ
liituraitainen	ˈliːtuˌrɑi̯tɑi̯nen
liitäntäjohto	ˈliːtæntæˌjohto
liivinmaalainen	ˈliːʋinˌmɑːlɑi̯nen
likaisesti	ˈlikɑi̯sestiˣ
likavaatteet	ˈlikɑˌʋɑːtːeːt
likelle	ˈlikelːeˣ
likentyminen	ˈlikentyminen
likimailta	ˈlikiˌmɑi̯ltɑ
likinäköinen	ˈlikiˌnækøi̯nen
liko	ˈliko
lilja	ˈliljɑ
limamato	ˈlimɑˌmɑto
limerikki	ˈlimerikːi
limitin	ˈlimitin
limonadi	ˈlimonɑ(ː)di
lindströminpihvi	ˈlindstrøminˌpihʋi
lingvisti	ˈliŋʋisti
linjakartta	ˈlinjɑˌkɑrtːɑ
linjanveto	ˈlinjɑnˌʋeto
linjatiheys	ˈlinjɑˌtiheys
linkkaaminen	ˈliŋkːɑːminen
linkkuveitsi	ˈliŋkːuˌʋei̯tsi
linnalääni	ˈlinːɑˌlæːni
linnanrouva	ˈlinːɑnˌrou̯ʋɑ
linnoitusjoukot	ˈlinːoi̯tusˌjou̯kot
linnunnokka	ˈlinːunˌnokːɑ
linnustaminen	ˈlinːustɑminen
linssijärjestelmä	ˈlinsːiˌjærjestelmæ
lintsaaminen	ˈlintsɑːminen
lintubongaus	ˈlintuˌboŋːɑus
lintulaskenta	ˈlintuˌlɑskentɑ
lintuvesi	ˈlintuˌʋesi
liotusaine	ˈliotusˌɑi̯neˣ
liperiläinen	ˈliperilæi̯nen
lipeäkivi	ˈlipeæˌkiʋi
liplatus	ˈliplɑtus
lippu	ˈlipːu
lipputervehdys	ˈlipːuˌterʋehdys
lipsaus	ˈlipsɑus
lipunlasku	ˈlipunˌlɑsku
lirahtaminen	ˈlirɑhtɑminen
liriä	ˈliriæˣ
lirunlaru	ˈlirunlɑru
lisensointi	ˈlisensoi̯nti
listamerkki	ˈlistɑˌmerkːi
listoittaa	ˈlistoi̯tːɑːˣ
lisäelämä	ˈlisæˌelæmæ
lisäjuna	ˈlisæˌjunɑ
lisäkulut	ˈlisæˌkulut
lisämenoarvio	ˈlisæˌmenoˌɑrʋio
lisäruokinta	ˈlisæˌruo̯kintɑ
lisätä	ˈlisætæˣ
lisää	ˈlisæː
lisääntymättömyys	ˈlisæːntymætːømyːs
litistyksissä	ˈlitistyksisːæ
litosfäärilaatta	ˈlitoˌsfæːriˌlɑːtːɑ
litsiluumu	ˈlitsiˌluːmu
litu	ˈlitu
liuentaa	ˈliu̯entɑːˣ
liukastua	ˈliu̯kɑstuɑˣ
